id,en,transcription,id_type,ru,add_dts
413,drawback,ˈdrɔːbæk,noun,недостаток,2017-09-12 14:16:49
412,effort,ˈefət,noun,усилие,2017-09-12 13:01:13
411,advance,ədˈvɑːns,verb,продвижение,2017-09-12 12:42:39
410,trait,,noun,черта;особенность,2017-09-09 17:10:09
409,insinuate,ɪnˈsɪnjueɪt,verb,намекать,2017-09-09 16:55:08
408,perception,pəˈsepʃn,noun,восприятие,2017-09-09 16:54:06
407,attitude,ˈætɪtjuːd,noun,отношение;позиция,2017-09-09 16:53:12
406,twinkle,twɪŋkl,verb,мерцать,2017-09-09 16:41:51
405,cruel,ˈkruːəl,adj,жестокий,2017-09-09 16:40:54
404,affectionate,əˈfekʃənət,adj,любящий,2017-09-09 16:40:15
403,affection,əˈfekʃn,noun,привязанность,2017-09-09 16:39:48
402,amend,əˈmend,verb,вносить правки,2017-09-08 16:30:48
401,fragile,ˈfrædʒaɪl,adj,хрупкий,2017-09-06 18:54:23
400,generous,ˈdʒenərəs,adj,великодушный,2017-09-06 13:02:49
399,compassion,kəmˈpæʃn,noun,сострадание,2017-09-06 13:01:41
398,embarrass,,verb,смущать,2017-09-06 13:00:06
397,struggle,ˈstrʌɡl,noun,усилие;борьба,2017-09-06 12:49:40
396,tension,,noun,напряженность,2017-09-06 12:47:29
395,competitive,,adj,конкурентоспособный;конкурентный,2017-09-06 12:45:26
394,pace,,noun,темп;шаг,2017-09-06 12:44:28
393,appreciate,əˈpriːʃieɪt,verb,ценить,2017-09-06 12:06:37
392,adjust,,verb,регулировать,2017-09-06 12:03:09
391,consider,kənˈsɪdə(r),verb,рассматривать,2017-09-06 12:01:15
390,considerate,kənˈsɪdərət,adj,внимательный,2017-09-06 12:00:43
389,adolescent,ˌædəˈlesnt,adj,юный;подрастковый,2017-08-30 13:10:33
388,eventually,ɪˈventʃuəli,adverb,в итоге;в конечном счете;в конце концов,2017-08-30 13:09:14
387,proud,praʊd,adj,гордый,2017-08-30 13:08:03
386,suppose,,adverb,предполагать,2017-08-30 13:03:34
385,apprentice,əˈprentɪs,noun,подмастерье,2017-08-12 12:28:05
384,shriek,ʃriːk,verb,визг,2017-08-12 12:25:58
383,astonishment,əˈstɒnɪʃmənt,noun,изумление,2017-08-12 12:23:41
382,stupefy,,verb,ошеломлять,2017-08-12 12:23:09
381,desperate,ˈdespərət,adj,отчаянный;безнадежный,2017-08-12 12:19:58
380,polish,,verb,полировать;шлифовать,2017-08-12 12:18:49
379,gruel,,noun,жидкая каша,2017-08-12 12:17:33
378,misery,,noun,страдание;нищета,2017-08-12 12:16:20
377,bitterly,ˈbɪtəli,adverb,горько,2017-08-12 12:14:13
376,forhead,,noun,лоб,2017-08-09 21:56:15
375,thirsty,,noun,жажда,2017-08-09 21:44:16
374,obey,,verb,слушаться;подчиняться,2017-08-09 21:42:54
373,match,,noun,спичка,2017-08-09 21:41:49
372,beak,,noun,клюв,2017-08-07 21:56:08
371,stumble,,verb,спотыкаться,2017-08-07 21:50:22
370,humbug,,noun,вздор;обман,2017-08-04 13:06:13
369,smith,,noun,кузнец,2017-08-04 12:58:23
368,come up,,phrasal verb,подойти,2017-08-04 12:43:32
367,courage,ˈkʌr.ɪdʒ,noun,мужество,2017-08-03 16:38:23
366,paw,pɔː,noun,лапа,2017-08-03 16:38:23
365,bark,bɑːk,noun,лай,2017-08-03 16:38:23
364,straw,strɔː,noun,солома,2017-08-03 16:38:23
363,scarecrow,skeə.krəʊ,noun,чучело,2017-08-03 16:38:23
362,emerald,ˈem.ə.rəld,noun,изумруд,2017-08-03 16:38:23
361,medieval,ˌmediˈiːvl,noun,средневековый,2017-08-03 16:38:23
360,forecast,ˈfɔːkɑːst,noun,прогноз,2017-08-03 16:38:23
359,bring up,,phrasal verb,воспитывать,2017-08-03 16:38:23
358,hold up,,phrasal verb,задерживаться,2017-08-03 16:38:23
357,put off,,phrasal verb,переносить;отменять,2017-08-03 16:38:23
356,well,,noun,колодец,2017-08-03 16:38:23
355,eloquent,ˈeləkwənt,adj,красноречивый,2017-08-03 16:38:23
354,suntan,,noun,загар,2017-08-03 16:38:23
353,embellishment,ɪmˈbelɪʃmənt,noun,приукрашивание,2017-08-03 16:38:23
